event_type,event_time,event_pps_micros,node_id,target_id,packet_id,rx_late7,rx_lnge7,rx_sats,tx_late7,tx_lnge7,tx_sats,rx_rssix10,rx_snrx10,tx_rssix10,tx_snrx10,packet_len,latency_us
16,1782629423,0,2,1,44,334913062,-1119195705,7,334255000,-1119400000,9,-797,444,-845,417,23,2298547
16,1782629425,0,2,1,45,334417629,-1119323876,10,334255000,-1119400000,5,-703,580,-708,523,23,2301333
16,1782629426,0,2,1,46,334480001,-1119602518,9,334255000,-1119400000,9,-711,535,-713,528,23,2302007
16,1782629429,0,2,1,48,334411478,-1119545914,11,334255000,-1119400000,11,-741,497,-755,489,23,2298164
16,1782629431,0,2,1,49,334245346,-1119510387,11,334255000,-1119400000,7,-652,599,-664,586,23,2297780
16,1782629432,0,2,1,50,334329552,-1119396774,7,334255000,-1119400000,8,-624,619,-605,686,23,2293207
16,1782629434,0,2,1,51,334230500,-1119665562,11,334255000,-1119400000,10,-738,503,-793,463,23,2303224
16,1782629435,0,2,1,52,334245215,-1119490797,6,334255000,-1119400000,6,-685,564,-632,612,23,2294842
16,1782629437,0,2,1,53,334252699,-1119428832,5,334255000,-1119400000,7,-518,727,-580,650,23,2296040
16,1782629438,0,2,1,54,334281134,-1118807402,7,334255000,-1119400000,7,-833,433,-807,445,23,2298494
16,1782629441,0,2,1,56,334222533,-1119736038,5,334255000,-1119400000,11,-808,428,-747,526,23,2296016
16,1782629443,0,2,1,57,334566250,-1119640429,11,334255000,-1119400000,5,-772,496,-842,388,23,2296452
16,1782629444,0,2,1,58,334775608,-1119317745,10,334255000,-1119400000,11,-824,446,-817,423,23,2294190
16,1782629446,0,2,1,59,334238721,-1119755489,10,334255000,-1119400000,9,-787,482,-744,472,23,2301845
16,1782629447,0,2,1,60,334462588,-1119364113,9,334255000,-1119400000,10,-698,526,-669,577,23,2295558
16,1782629449,0,2,1,61,334564488,-1119778020,10,334255000,-1119400000,7,-882,367,-800,430,23,2299865
16,1782629450,0,2,1,62,334565813,-1119299152,12,334255000,-1119400000,6,-805,429,-832,422,23,2293266
16,1782629452,0,2,1,63,334302657,-1119387569,9,334255000,-1119400000,7,-526,721,-568,660,23,2298917
16,1782629453,0,2,1,64,334794782,-1119332626,11,334255000,-1119400000,6,-806,484,-831,413,23,2290003
16,1782629455,0,2,1,65,334211955,-1119708826,6,334255000,-1119400000,10,-761,480,-707,502,23,2297320
16,1782629459,0,2,1,68,334385184,-1119496982,5,334255000,-1119400000,10,-745,484,-723,513,23,2290423
16,1782629461,0,2,1,69,334508013,-1119293940,7,334255000,-1119400000,6,-723,541,-718,529,23,2302090
16,1782629462,0,2,1,70,334840123,-1119316499,9,334255000,-1119400000,8,-867,425,-842,379,23,2294483
16,1782629464,0,2,1,71,334874069,-1119241283,7,334255000,-1119400000,10,-824,409,-860,402,23,2299821
16,1782629468,0,2,1,74,334201878,-1119879685,12,334255000,-1119400000,5,-781,461,-805,460,23,2300155
16,1782629470,0,2,1,75,334724941,-1119876933,6,334255000,-1119400000,8,-852,405,-916,328,23,2296790
16,1782629471,0,2,1,76,334395916,-1119149436,5,334255000,-1119400000,5,-730,518,-772,461,23,2300538
16,1782629473,0,2,1,77,334466492,-1119593059,9,334255000,-1119400000,5,-760,532,-796,443,23,2292536
16,1782629474,0,2,1,78,334529804,-1119648930,5,334255000,-1119400000,5,-765,470,-814,416,23,2290545
16,1782629477,0,2,1,80,334351231,-1119378466,7,334255000,-1119400000,7,-640,618,-780,468,23,2298196
